Tract ID,County,Median_Gross_Rent,Year
101,San Francisco,1318.0,2010
1011,Marin,994.0,2010
1012,Marin,1199.0,2010
102,San Francisco,1554.0,2010
1021,Marin,2000.0,2010
1022.02,Marin,1468.0,2010
1022.03,Marin,1296.0,2010
103,San Francisco,1995.0,2010
1031,Marin,2000.0,2010
1032,Marin,1604.0,2010
104,San Francisco,1780.0,2010
1041.01,Marin,1420.0,2010
1041.02,Marin,1422.0,2010
1042,Marin,1610.0,2010
1043,Marin,2000.0,2010
105,San Francisco,2000.0,2010
1050,Marin,1361.0,2010
106,San Francisco,1017.0,2010
1060.01,Marin,1664.0,2010
1060.02,Marin,1490.0,2010
107,San Francisco,532.0,2010
1070,Marin,2000.0,2010
108,San Francisco,1392.0,2010
1081,Marin,2000.0,2010
1082,Marin,1319.0,2010
109,San Francisco,1357.0,2010
1090.01,Marin,1335.0,2010
1090.02,Marin,1380.0,2010
110,San Francisco,979.0,2010
1101,Marin,1180.0,2010
1102,Marin,2000.0,2010
111,San Francisco,1047.0,2010
1110,Marin,1236.0,2010
112,San Francisco,1505.0,2010
1121,Marin,1205.0,2010
1122.01,Marin,1416.0,2010
1122.02,Marin,1196.0,2010
113,San Francisco,527.0,2010
1130,Marin,1901.0,2010
1141,Marin,1601.0,2010
1142,Marin,1619.0,2010
1150,Marin,1792.0,2010
1160,Marin,1377.0,2010
117,San Francisco,790.0,2010
1170,Marin,1357.0,2010
118,San Francisco,626.0,2010
1181,Marin,2000.0,2010
119.01,San Francisco,1062.0,2010
119.02,San Francisco,1181.0,2010
1191,Marin,1348.0,2010
1192.01,Marin,1623.0,2010
1192.02,Marin,2000.0,2010
120,San Francisco,1010.0,2010
1200,Marin,1475.0,2010
121,San Francisco,1087.0,2010
1211,Marin,1728.0,2010
1212,Marin,1755.0,2010
122.01,San Francisco,980.0,2010
122.02,San Francisco,831.0,2010
1220,Marin,0.0,2010
123.01,San Francisco,587.0,2010
123.02,San Francisco,974.0,2010
1230,Marin,2000.0,2010
124.01,San Francisco,735.0,2010
124.02,San Francisco,848.0,2010
1241,Marin,1728.0,2010
1242,Marin,2000.0,2010
125.01,San Francisco,558.0,2010
125.02,San Francisco,457.0,2010
1250,Marin,1596.0,2010
126.01,San Francisco,1789.0,2010
126.02,San Francisco,1825.0,2010
1261,Marin,1969.0,2010
1262,Marin,1547.0,2010
127,San Francisco,1724.0,2010
1270,Marin,1603.0,2010
128,San Francisco,1664.0,2010
1281,Marin,2000.0,2010
1282,Marin,2000.0,2010
129.01,San Francisco,1715.0,2010
129.02,San Francisco,1576.0,2010
1290,Marin,1206.0,2010
130,San Francisco,1802.0,2010
1302.01,Marin,1974.0,2010
1302.02,Marin,2000.0,2010
131.01,San Francisco,1711.0,2010
131.02,San Francisco,1978.0,2010
1311,Marin,1884.0,2010
132,San Francisco,1984.0,2010
1321,Marin,1205.0,2010
1322,Marin,1325.0,2010
133,San Francisco,1788.0,2010
1330,Marin,1277.0,2010
134,San Francisco,1637.0,2010
135,San Francisco,1478.0,2010
1501,Sonoma,1416.0,2010
1502.02,Sonoma,1258.0,2010
1502.03,Sonoma,1356.0,2010
1502.04,Sonoma,1325.0,2010
1503.03,Sonoma,1492.0,2010
