Tract ID,County,Estimate!!Total,Year
4001,Alameda,3094,2023
4002,Alameda,2093,2023
4003,Alameda,5727,2023
4004,Alameda,4395,2023
4005,Alameda,3822,2023
4006,Alameda,1957,2023
4007,Alameda,4404,2023
4008,Alameda,4583,2023
4009,Alameda,2752,2023
4010,Alameda,6529,2023
4011,Alameda,5627,2023
4012,Alameda,3068,2023
4013,Alameda,4368,2023
4014,Alameda,4876,2023
4015,Alameda,2827,2023
4016,Alameda,2617,2023
4017,Alameda,3519,2023
4018,Alameda,1816,2023
4022,Alameda,2385,2023
4024,Alameda,2727,2023
4025,Alameda,1877,2023
4026,Alameda,1255,2023
4027,Alameda,2056,2023
4028.01,Alameda,2911,2023
4028.02,Alameda,1527,2023
4029,Alameda,2111,2023
4030,Alameda,3125,2023
4031,Alameda,2174,2023
4033.01,Alameda,1807,2023
4033.02,Alameda,2687,2023
4034.01,Alameda,2641,2023
4034.02,Alameda,955,2023
4035.01,Alameda,5421,2023
4035.02,Alameda,1885,2023
4036,Alameda,4902,2023
4037.01,Alameda,2875,2023
4037.02,Alameda,2264,2023
4038,Alameda,3996,2023
4039,Alameda,3864,2023
4040,Alameda,2984,2023
4041.01,Alameda,3155,2023
4041.02,Alameda,2623,2023
4042,Alameda,3584,2023
4043,Alameda,3510,2023
4044,Alameda,5657,2023
4045.01,Alameda,1830,2023
4045.02,Alameda,6038,2023
4046,Alameda,4767,2023
4047,Alameda,2223,2023
4048,Alameda,2622,2023
4049,Alameda,4798,2023
4050,Alameda,3670,2023
4051,Alameda,4451,2023
4052,Alameda,4916,2023
4053.01,Alameda,2934,2023
4053.02,Alameda,2560,2023
4054.01,Alameda,3733,2023
4054.02,Alameda,3325,2023
4055,Alameda,3574,2023
4056,Alameda,3153,2023
4057,Alameda,3553,2023
4058,Alameda,4329,2023
4059.01,Alameda,4206,2023
4059.02,Alameda,2994,2023
4060,Alameda,4638,2023
4061,Alameda,5379,2023
4062.01,Alameda,5191,2023
4062.02,Alameda,4958,2023
4063,Alameda,4529,2023
4064,Alameda,2456,2023
4065,Alameda,6405,2023
4066.01,Alameda,4476,2023
4066.02,Alameda,2638,2023
4067,Alameda,5718,2023
4068,Alameda,3905,2023
4069,Alameda,4535,2023
4070,Alameda,6315,2023
