Tract ID,County,Vacant Units,Year
4001,Alameda,113,2010
4002,Alameda,34,2010
4003,Alameda,188,2010
4004,Alameda,58,2010
4005,Alameda,81,2010
4006,Alameda,68,2010
4007,Alameda,303,2010
4008,Alameda,276,2010
4009,Alameda,73,2010
4010,Alameda,347,2010
4011,Alameda,204,2010
4012,Alameda,29,2010
4013,Alameda,313,2010
4014,Alameda,499,2010
4015,Alameda,406,2010
4016,Alameda,161,2010
4017,Alameda,126,2010
4018,Alameda,341,2010
4022,Alameda,182,2010
4024,Alameda,192,2010
4025,Alameda,81,2010
4026,Alameda,96,2010
4027,Alameda,145,2010
4028,Alameda,214,2010
4029,Alameda,163,2010
4030,Alameda,346,2010
4031,Alameda,90,2010
4033,Alameda,320,2010
4034,Alameda,64,2010
4035.01,Alameda,237,2010
4035.02,Alameda,141,2010
4036,Alameda,281,2010
4037.01,Alameda,408,2010
4037.02,Alameda,59,2010
4038,Alameda,112,2010
4039,Alameda,160,2010
4040,Alameda,142,2010
4041.01,Alameda,102,2010
4041.02,Alameda,165,2010
4042,Alameda,62,2010
4043,Alameda,87,2010
4044,Alameda,177,2010
4045.01,Alameda,22,2010
4045.02,Alameda,122,2010
4046,Alameda,87,2010
4047,Alameda,35,2010
4048,Alameda,51,2010
4049,Alameda,78,2010
4050,Alameda,237,2010
4051,Alameda,108,2010
4052,Alameda,313,2010
4053.01,Alameda,73,2010
4053.02,Alameda,0,2010
4054.01,Alameda,279,2010
4054.02,Alameda,120,2010
4055,Alameda,306,2010
4056,Alameda,151,2010
4057,Alameda,272,2010
4058,Alameda,212,2010
4059.01,Alameda,140,2010
4059.02,Alameda,115,2010
4060,Alameda,213,2010
4061,Alameda,262,2010
4062.01,Alameda,230,2010
4062.02,Alameda,191,2010
4063,Alameda,162,2010
4064,Alameda,65,2010
4065,Alameda,324,2010
4066.01,Alameda,63,2010
4066.02,Alameda,114,2010
4067,Alameda,221,2010
4068,Alameda,121,2010
4069,Alameda,96,2010
4070,Alameda,315,2010
4071.01,Alameda,165,2010
4071.02,Alameda,202,2010
4072,Alameda,299,2010
4073,Alameda,69,2010
4074,Alameda,106,2010
4075,Alameda,172,2010
4076,Alameda,238,2010
4077,Alameda,124,2010
4078,Alameda,73,2010
4079,Alameda,144,2010
4080,Alameda,68,2010
